CustomerKey,Country,Age,MaritalStatus,Gender,YearlyIncome,TotalChildren,NumberChildrenAtHome,Education,Occupation,HouseOwnerFlag,NumberCarsOwned,class_label
11025,Australia,63,M,M,10000,2,1,Partial High School,Clerical,1,2, <= 50K 
11026,Australia,63,S,M,30000,2,0,Partial College,Clerical,0,2, <= 50K 
11027,Australia,62,M,M,30000,2,0,Partial College,Clerical,1,2, <= 50K 
11028,Australia,63,M,F,30000,2,0,Partial College,Clerical,1,2, <= 50K 
11029,Australia,62,M,M,30000,2,0,Partial College,Clerical,1,2, <= 50K 
11030,Australia,56,M,F,10000,2,1,Partial High School,Clerical,1,2, <= 50K 
11031,Australia,61,M,F,20000,4,0,High School,Skilled Manual,1,2, <= 50K 
11032,Australia,62,M,F,20000,4,0,High School,Skilled Manual,1,2, <= 50K 
11033,Australia,56,M,M,20000,4,0,High School,Skilled Manual,1,2, <= 50K 
11034,Australia,62,M,F,20000,4,0,High School,Skilled Manual,1,2, <= 50K 
11035,Australia,61,M,F,10000,2,1,Partial High School,Clerical,1,2, <= 50K 
11036,United States,30,M,F,60000,0,0,Partial College,Skilled Manual,1,2, > 50K
11037,Canada,31,S,F,40000,0,0,Partial High School,Clerical,0,2, <= 50K 
11038,Australia,61,M,F,10000,2,1,Partial High School,Clerical,1,2, <= 50K 
11039,Australia,60,M,M,30000,3,0,Partial College,Clerical,1,2, <= 50K 
11040,United States,31,M,M,30000,0,0,Partial College,Skilled Manual,1,2, <= 50K 
11041,United States,31,M,F,60000,0,0,Partial College,Skilled Manual,1,2, > 50K
11042,United States,32,M,F,70000,0,0,Partial College,Skilled Manual,1,2, > 50K
11043,United States,33,M,M,60000,0,0,Partial College,Skilled Manual,1,2, > 50K
11044,Australia,60,M,M,20000,2,1,Partial High School,Clerical,1,2, <= 50K 
11045,Australia,59,S,M,30000,3,0,High School,Skilled Manual,0,2, <= 50K 
11046,Australia,59,M,F,30000,3,0,High School,Skilled Manual,1,2, <= 50K 
11047,Australia,59,M,F,30000,3,0,High School,Skilled Manual,0,2, <= 50K 
11048,Australia,58,M,M,30000,3,0,High School,Skilled Manual,1,2, <= 50K 
11049,United States,28,S,F,40000,0,0,Partial High School,Clerical,1,2, <= 50K 
11050,Australia,57,M,M,30000,3,0,High School,Skilled Manual,1,2, <= 50K 
11051,Australia,57,S,M,30000,3,0,High School,Skilled Manual,0,2, <= 50K 
11052,Australia,57,S,F,40000,2,0,Partial College,Clerical,0,2, <= 50K 
11053,United States,28,M,F,60000,0,0,Partial College,Skilled Manual,0,2, > 50K
11054,Australia,57,M,F,40000,2,0,Partial College,Skilled Manual,1,2, <= 50K 
11055,Australia,57,M,M,40000,2,0,Partial College,Skilled Manual,1,2, <= 50K 
11056,Australia,56,M,F,40000,3,0,Partial College,Skilled Manual,1,2, <= 50K 
11057,Australia,44,M,M,70000,2,0,Graduate Degree,Management,1,2, > 50K
11058,Australia,49,M,M,80000,2,0,Partial College,Skilled Manual,1,2, > 50K
11059,Australia,55,S,F,80000,2,0,Partial College,Skilled Manual,1,2, > 50K
11060,Australia,55,M,M,80000,2,0,Partial College,Skilled Manual,1,2, > 50K
11061,Australia,38,M,M,80000,2,0,Partial College,Skilled Manual,1,2, > 50K
11062,United States,33,M,M,40000,0,0,High School,Skilled Manual,1,2, <= 50K 
11063,United States,34,S,F,40000,0,0,High School,Skilled Manual,1,2, <= 50K 
11064,United States,33,M,M,40000,0,0,High School,Skilled Manual,1,2, <= 50K 
11065,United States,35,M,F,60000,0,0,Partial College,Skilled Manual,0,2, > 50K
11066,United States,35,M,F,70000,0,0,Partial College,Professional,1,2, > 50K
11067,United States,32,S,M,60000,0,0,Partial College,Professional,1,2, > 50K
11068,Australia,48,S,F,80000,2,0,High School,Skilled Manual,1,2, > 50K
11069,Australia,48,S,F,80000,2,0,High School,Skilled Manual,0,2, > 50K
11070,Australia,54,M,M,80000,2,0,High School,Skilled Manual,1,2, > 50K
11071,Australia,54,S,F,80000,2,0,High School,Skilled Manual,1,2, > 50K
11072,Australia,54,S,F,80000,2,0,High School,Skilled Manual,0,2, > 50K
11073,Australia,52,S,F,70000,2,0,High School,Skilled Manual,1,2, > 50K
11074,Australia,52,S,M,70000,2,0,High School,Skilled Manual,1,2, > 50K
11075,Australia,51,S,F,80000,2,0,High School,Professional,1,2, > 50K
11076,Australia,51,S,M,80000,2,0,High School,Professional,1,2, > 50K
11077,Australia,51,S,F,80000,2,0,High School,Professional,0,2, > 50K
11078,Canada,29,S,F,40000,0,0,High School,Professional,0,2, <= 50K 
11079,Australia,44,S,M,160000,0,0,Graduate Degree,Management,1,2, > 50K
11080,Australia,49,M,M,170000,0,0,Graduate Degree,Management,1,2, > 50K
11081,United States,42,M,F,120000,2,2,Bachelors,Management,1,3, > 50K
11082,United States,42,S,F,130000,0,1,Graduate Degree,Management,0,3, > 50K
11083,United States,37,M,F,130000,0,1,Graduate Degree,Management,1,3, > 50K
11084,United States,51,S,M,80000,2,0,Partial High School,Skilled Manual,0,2, > 50K
11085,United States,51,S,F,60000,2,0,High School,Professional,0,2, > 50K
11086,United States,51,M,M,70000,2,1,Partial College,Professional,1,0, > 50K
11087,United States,51,M,F,70000,3,2,Partial College,Professional,0,0, > 50K
11088,United States,51,M,M,80000,2,1,Bachelors,Management,1,0, > 50K
11089,United States,52,S,F,80000,2,1,Bachelors,Management,1,1, > 50K
11090,United States,46,S,M,90000,2,0,Partial College,Professional,1,1, > 50K
11091,Canada,52,M,M,90000,2,0,Partial College,Professional,1,1, > 50K
11092,Australia,42,M,F,90000,2,2,Bachelors,Professional,1,0, > 50K
11093,Australia,36,M,F,100000,0,0,Graduate Degree,Management,1,0, > 50K
11094,Australia,47,S,M,70000,1,0,Partial College,Skilled Manual,0,1, > 50K
11095,Australia,46,S,M,70000,1,0,Partial College,Skilled Manual,1,1, > 50K
11096,Australia,46,M,M,60000,1,0,Bachelors,Professional,1,1, > 50K
11097,Australia,42,M,M,60000,1,0,Partial College,Skilled Manual,1,1, > 50K
11098,Australia,48,S,F,60000,1,0,Partial College,Skilled Manual,0,1, > 50K
11099,Australia,48,M,M,60000,1,0,Bachelors,Professional,1,1, > 50K
11100,Australia,48,S,F,60000,1,0,Partial College,Skilled Manual,1,1, > 50K
11101,Australia,44,S,F,70000,0,0,Bachelors,Professional,0,1, > 50K
11102,Australia,44,S,F,80000,5,5,Bachelors,Professional,1,4, > 50K
11103,Australia,33,S,F,70000,0,0,Bachelors,Professional,1,1, > 50K
11104,Australia,39,M,M,70000,0,0,Bachelors,Professional,0,1, > 50K
11105,Australia,44,S,F,70000,0,0,Bachelors,Professional,0,1, > 50K
11106,Australia,44,S,M,70000,0,0,Bachelors,Professional,0,1, > 50K
11107,Australia,38,M,F,90000,1,0,Bachelors,Professional,1,1, > 50K
11108,Australia,45,S,F,70000,0,0,Bachelors,Professional,0,2, > 50K
11109,Australia,34,S,M,70000,0,0,Bachelors,Professional,0,2, > 50K
11110,Australia,47,M,M,60000,1,0,Partial College,Skilled Manual,1,1, > 50K
11111,Australia,47,M,F,60000,1,0,Partial College,Skilled Manual,1,1, > 50K
11112,Australia,46,M,F,60000,1,0,Partial College,Skilled Manual,1,1, > 50K
11113,Australia,41,M,M,70000,5,4,Bachelors,Professional,1,2, > 50K
11114,Australia,47,S,F,70000,5,4,Partial College,Skilled Manual,1,2, > 50K
11115,Australia,47,M,M,70000,5,4,Partial College,Skilled Manual,1,2, > 50K
11116,Australia,35,M,M,70000,5,4,Partial College,Skilled Manual,1,2, > 50K
11117,Australia,48,M,F,70000,5,4,Partial College,Skilled Manual,1,3, > 50K
11118,Australia,52,S,M,80000,1,0,Partial College,Skilled Manual,0,1, > 50K
11119,Australia,74,S,M,30000,2,0,Partial College,Clerical,0,2, <= 50K 
11120,Australia,72,S,F,40000,2,0,Bachelors,Management,1,1, <= 50K 
11121,Australia,48,M,M,70000,5,4,Partial College,Skilled Manual,1,3, > 50K
11122,Australia,49,M,M,70000,5,4,Partial College,Skilled Manual,1,3, > 50K
11123,Australia,49,M,M,70000,5,4,Partial College,Skilled Manual,1,3, > 50K
11124,Australia,46,S,M,80000,1,0,Partial College,Skilled Manual,1,1, > 50K
11125,Australia,53,S,F,70000,1,0,Partial College,Skilled Manual,1,1, > 50K
11126,Australia,60,M,M,10000,2,1,High School,Skilled Manual,0,2, <= 50K 
11127,United States,33,M,F,40000,0,0,High School,Skilled Manual,1,1, <= 50K 
11128,United States,33,M,F,40000,0,0,High School,Skilled Manual,1,1, <= 50K 
11129,United States,33,S,F,40000,0,0,High School,Skilled Manual,1,1, <= 50K 
11130,United States,29,M,F,30000,0,0,High School,Skilled Manual,1,2, <= 50K 
11131,Canada,29,M,F,30000,0,0,High School,Skilled Manual,0,2, <= 50K 
11132,Canada,28,S,F,30000,0,0,High School,Skilled Manual,0,2, <= 50K 
11133,United States,28,S,F,30000,0,0,Partial High School,Clerical,0,2, <= 50K 
11134,Australia,57,S,M,10000,5,0,High School,Skilled Manual,1,2, <= 50K 
11135,United States,29,S,M,30000,0,0,Partial High School,Clerical,0,2, <= 50K 
11136,Canada,30,S,F,40000,0,0,High School,Skilled Manual,0,2, <= 50K 
11137,United States,30,M,F,40000,0,0,High School,Skilled Manual,1,2, <= 50K 
11138,United States,30,M,F,40000,0,0,High School,Skilled Manual,0,2, <= 50K 
11139,Australia,65,S,F,30000,2,0,Partial College,Clerical,0,2, <= 50K 
11140,United States,32,S,M,30000,0,0,Partial High School,Clerical,0,2, <= 50K 
11141,United States,32,M,F,40000,0,0,High School,Skilled Manual,0,2, <= 50K 
11142,Canada,31,S,M,40000,0,0,High School,Skilled Manual,0,2, <= 50K 
11143,United States,32,M,M,40000,0,0,High School,Skilled Manual,1,2, <= 50K 
11144,United States,29,S,M,40000,0,0,High School,Skilled Manual,0,2, <= 50K 
11145,United States,29,S,F,40000,0,0,High School,Skilled Manual,0,2, <= 50K 
11146,Australia,69,S,F,40000,2,0,Bachelors,Management,1,2, <= 50K 
11147,Australia,70,M,M,60000,2,0,Graduate Degree,Management,1,1, > 50K
11148,Australia,67,M,M,40000,2,0,Bachelors,Management,1,2, <= 50K 
11149,Australia,68,M,M,40000,2,0,Bachelors,Management,1,2, <= 50K 
11150,Australia,68,S,M,40000,2,0,Bachelors,Management,1,2, <= 50K 
11151,Australia,67,S,F,60000,2,0,Graduate Degree,Management,0,1, > 50K
11152,United States,33,S,M,40000,0,0,High School,Skilled Manual,1,2, <= 50K 
11153,United States,33,M,F,40000,0,0,High School,Skilled Manual,1,2, <= 50K 
11154,United States,32,S,F,40000,0,0,Partial College,Skilled Manual,1,1, <= 50K 
11155,United States,33,S,M,40000,0,0,Partial College,Skilled Manual,0,1, <= 50K 
11156,United States,33,S,F,40000,0,0,Partial College,Skilled Manual,0,1, <= 50K 
11157,United States,34,M,F,40000,0,0,High School,Skilled Manual,1,2, <= 50K 
11158,United States,33,S,M,40000,0,0,High School,Skilled Manual,1,2, <= 50K 
11159,United States,33,S,F,40000,0,0,High School,Skilled Manual,0,2, <= 50K 
11160,United States,35,S,M,40000,0,0,Partial College,Skilled Manual,0,1, <= 50K 
11161,United States,35,S,F,40000,0,0,Partial College,Skilled Manual,0,1, <= 50K 
11162,United States,35,S,M,40000,0,0,Partial College,Skilled Manual,1,1, <= 50K 
11163,United States,34,M,M,40000,0,0,Partial College,Skilled Manual,1,1, <= 50K 
11164,United States,35,S,M,40000,0,0,Partial College,Skilled Manual,0,1, <= 50K 
11165,United States,35,M,F,60000,0,0,Partial College,Skilled Manual,0,1, > 50K
11166,United States,37,S,F,70000,0,0,Partial College,Skilled Manual,0,2, > 50K
11167,United States,36,S,F,80000,0,0,Bachelors,Management,0,1, > 50K
11168,United States,41,S,M,80000,0,0,Bachelors,Management,0,1, > 50K
11169,United States,41,M,M,90000,4,4,Bachelors,Management,1,1, > 50K
11170,United States,41,M,F,90000,4,4,Bachelors,Management,1,1, > 50K
11171,United States,36,S,M,100000,1,0,Bachelors,Management,1,2, > 50K
11172,United States,41,M,F,100000,1,0,Bachelors,Management,1,2, > 50K
11173,United States,41,S,F,110000,0,0,Graduate Degree,Management,0,4, > 50K
11174,United States,41,M,M,110000,0,1,Graduate Degree,Management,1,0, > 50K
11175,United States,46,S,M,70000,0,0,Partial College,Skilled Manual,1,2, > 50K
11176,Canada,35,M,M,90000,4,4,Bachelors,Management,1,1, > 50K
11177,United States,66,M,M,110000,2,4,Graduate Degree,Management,1,2, > 50K
11178,United States,60,M,M,100000,2,3,Graduate Degree,Management,1,3, > 50K
11179,United States,55,M,F,120000,2,4,Graduate Degree,Management,1,3, > 50K
11180,United States,66,M,F,160000,1,3,Bachelors,Management,1,4, > 50K
11181,United States,54,M,M,170000,2,3,Graduate Degree,Management,1,2, > 50K
11182,United States,64,S,F,70000,4,0,Bachelors,Management,1,2, > 50K
11183,United States,64,S,F,70000,4,0,Bachelors,Management,1,2, > 50K
11184,United States,59,S,F,70000,4,0,Bachelors,Management,1,2, > 50K
11185,Canada,64,S,F,70000,4,0,Bachelors,Management,1,2, > 50K
11186,United States,65,S,F,70000,4,0,Bachelors,Management,1,2, > 50K
11187,United States,65,M,F,60000,4,0,Graduate Degree,Management,1,2, > 50K
11188,United States,64,M,F,60000,4,0,Graduate Degree,Management,0,2, > 50K
11189,United States,64,S,M,60000,4,0,Graduate Degree,Management,1,2, > 50K
11190,United States,65,M,M,70000,5,0,Bachelors,Management,1,2, > 50K
11191,United States,63,S,F,70000,5,0,Bachelors,Management,1,3, > 50K
11192,United States,63,M,M,60000,4,0,Bachelors,Management,1,2, > 50K
11193,United States,64,M,M,60000,4,0,Bachelors,Management,1,2, > 50K
11194,United States,64,M,F,60000,4,0,Bachelors,Management,1,2, > 50K
11195,United States,63,M,F,60000,5,0,Bachelors,Management,1,3, > 50K
11196,United States,63,M,M,60000,5,0,Bachelors,Management,1,3, > 50K
11197,United States,63,M,F,70000,3,1,Bachelors,Management,0,1, > 50K
11198,United States,62,S,F,70000,4,1,Bachelors,Management,1,1, > 50K
11199,United States,57,M,F,70000,4,1,Bachelors,Management,1,1, > 50K
11200,Canada,61,M,M,70000,4,1,Bachelors,Management,1,1, > 50K
11201,United States,61,M,F,70000,4,1,Bachelors,Management,1,1, > 50K
11202,United States,56,M,F,80000,5,0,Bachelors,Management,0,2, > 50K
11203,Canada,55,M,M,40000,2,1,High School,Professional,1,2, <= 50K 
11204,United States,61,M,F,40000,2,1,High School,Professional,1,2, <= 50K 
11205,United States,60,M,F,40000,2,1,High School,Professional,1,2, <= 50K 
11206,United States,60,M,M,60000,2,1,Partial College,Professional,1,1, > 50K
11207,United States,60,S,F,60000,2,1,Partial College,Professional,1,1, > 50K
11208,United States,61,M,F,60000,2,1,Bachelors,Management,1,0, > 50K
11209,United States,61,M,F,60000,2,1,Bachelors,Management,1,0, > 50K
11210,United States,61,M,M,70000,4,1,Partial College,Professional,1,2, > 50K
11211,Canada,54,M,F,40000,2,1,High School,Professional,1,2, <= 50K 
11212,Canada,59,M,F,40000,2,1,High School,Professional,1,2, <= 50K 
11213,United States,60,S,F,60000,2,1,Partial College,Professional,1,2, > 50K
11214,United States,59,S,M,60000,2,1,Partial College,Professional,1,2, > 50K
11215,Canada,53,M,F,40000,2,1,Partial High School,Skilled Manual,1,2, <= 50K 
11216,United States,59,S,F,60000,2,1,Partial College,Professional,1,2, > 50K
11217,United States,59,S,F,60000,2,1,Partial College,Professional,1,2, > 50K
11218,United States,53,S,F,60000,2,1,Partial College,Professional,0,2, > 50K
11219,United States,58,M,M,60000,2,1,High School,Professional,1,2, > 50K
11220,United States,53,M,F,60000,2,1,Partial College,Professional,1,1, > 50K
11221,United States,59,M,M,70000,4,2,Partial College,Professional,1,1, > 50K
11222,United States,58,M,F,80000,3,1,Bachelors,Management,1,1, > 50K
11223,Canada,57,S,F,70000,2,1,High School,Professional,1,2, > 50K
11224,United States,57,S,F,70000,2,1,High School,Professional,1,2, > 50K
11225,United States,52,M,F,60000,2,1,Partial College,Professional,1,1, > 50K
11226,United States,52,M,F,60000,2,1,Partial College,Professional,1,1, > 50K
11227,United States,52,S,M,60000,2,1,Partial College,Professional,1,2, > 50K
11228,United States,58,M,F,60000,2,1,Partial College,Professional,1,2, > 50K
11229,United States,57,S,M,70000,4,2,Partial College,Professional,1,1, > 50K
11230,United States,58,M,F,70000,4,2,Partial College,Professional,0,2, > 50K
11231,United States,51,M,M,60000,2,1,High School,Professional,1,2, > 50K
11232,United States,56,M,F,60000,3,1,High School,Professional,0,2, > 50K
11233,United States,51,M,M,70000,4,2,Partial College,Professional,1,2, > 50K
11234,United States,56,S,F,70000,4,2,Partial College,Professional,1,2, > 50K
11235,United States,57,M,M,70000,4,2,Partial College,Professional,1,2, > 50K
11236,United States,57,S,M,70000,5,2,Partial College,Professional,1,2, > 50K
11237,Germany,50,S,M,130000,2,3,Bachelors,Management,0,4, > 50K
11238,United Kingdom,50,S,F,130000,2,3,Bachelors,Management,0,4, > 50K
11239,United Kingdom,45,M,F,130000,2,4,Partial College,Professional,0,2, > 50K
11240,United Kingdom,50,M,F,160000,2,3,Partial College,Professional,1,4, > 50K
11241,France,40,S,F,100000,2,3,Partial College,Professional,1,4, > 50K
11242,France,51,M,M,110000,2,4,Partial College,Professional,1,3, > 50K
11243,United Kingdom,51,M,F,150000,2,3,Partial College,Professional,1,3, > 50K
11244,United Kingdom,46,S,F,170000,2,3,Bachelors,Management,0,3, > 50K
11245,Germany,52,M,M,120000,3,4,High School,Professional,0,4, > 50K
11246,Germany,52,M,F,120000,3,4,High School,Professional,0,4, > 50K
11247,United Kingdom,53,S,F,130000,3,4,Partial College,Professional,0,3, > 50K
11248,France,48,M,M,110000,3,4,Partial College,Professional,1,4, > 50K
11249,Germany,48,M,F,130000,3,4,Partial College,Professional,1,3, > 50K
11250,United Kingdom,48,M,F,170000,3,4,High School,Professional,1,2, > 50K
11251,Canada,76,S,M,30000,4,0,High School,Professional,0,2, <= 50K 
11252,United States,77,S,M,90000,3,0,Graduate Degree,Management,1,1, > 50K
11253,Canada,65,M,M,60000,2,0,Graduate Degree,Management,1,2, > 50K
11254,United States,76,M,M,70000,4,0,Graduate Degree,Management,1,2, > 50K
11255,United States,76,M,M,70000,4,0,Graduate Degree,Management,1,2, > 50K
11256,United States,75,M,F,70000,4,0,Graduate Degree,Management,1,2, > 50K
11257,United States,76,S,F,120000,1,2,Graduate Degree,Management,1,4, > 50K
11258,United States,76,M,M,120000,1,2,Graduate Degree,Management,1,4, > 50K
11259,United States,44,M,F,100000,4,1,Partial College,Professional,1,4, > 50K
11260,United States,38,M,F,110000,2,2,Bachelors,Management,1,3, > 50K
11261,United States,44,M,F,130000,1,2,Graduate Degree,Management,1,1, > 50K
11262,Canada,39,M,F,80000,4,3,Bachelors,Management,1,0, > 50K
11263,United States,44,M,F,90000,5,5,Partial College,Professional,1,3, > 50K
11264,United States,45,S,M,90000,5,5,Partial College,Professional,0,3, > 50K
11265,United States,44,M,F,90000,5,5,Partial College,Professional,1,3, > 50K
11266,United States,45,S,F,90000,0,0,Partial College,Professional,0,1, > 50K
11267,United States,39,S,M,120000,4,2,Partial College,Professional,1,4, > 50K
11268,United States,45,M,F,130000,2,2,Graduate Degree,Management,1,2, > 50K
11269,United States,39,M,M,130000,2,2,Graduate Degree,Management,1,2, > 50K
11270,United States,39,M,M,130000,2,2,Graduate Degree,Management,1,3, > 50K
11271,United States,45,S,F,150000,2,0,Bachelors,Management,0,4, > 50K
11272,United States,52,S,F,70000,4,3,Partial College,Professional,1,0, > 50K
11273,United States,52,M,M,90000,2,1,Partial College,Professional,1,0, > 50K
11274,United States,75,M,M,50000,2,0,Graduate Degree,Management,1,2, <= 50K 
11275,United States,75,M,F,80000,4,0,Graduate Degree,Management,1,2, > 50K
11276,Canada,40,M,F,80000,4,3,Partial College,Professional,1,2, > 50K
11277,Canada,46,M,M,80000,4,3,Partial College,Professional,1,2, > 50K
11278,United States,45,S,M,90000,0,0,Partial College,Professional,0,1, > 50K
11279,United States,40,M,F,90000,0,0,Partial College,Professional,1,1, > 50K
11280,United States,45,M,M,90000,0,0,Partial College,Professional,1,1, > 50K
11281,United States,40,S,F,110000,4,2,Bachelors,Management,1,4, > 50K
11282,United States,47,M,M,90000,5,4,Partial College,Professional,1,4, > 50K
11283,United States,46,M,M,110000,1,3,Bachelors,Management,1,2, > 50K
11284,United States,47,M,F,110000,1,3,Bachelors,Management,1,2, > 50K
11285,United States,41,M,M,120000,1,3,Partial College,Professional,0,4, > 50K
11286,United States,47,M,M,170000,0,0,Graduate Degree,Management,1,4, > 50K
11287,Canada,48,M,M,70000,5,4,Partial College,Professional,0,3, > 50K
11288,United States,36,M,F,110000,1,3,Bachelors,Management,1,3, > 50K
11289,United States,42,M,F,130000,1,3,Bachelors,Management,1,1, > 50K
11290,United States,42,M,F,130000,1,3,Bachelors,Management,1,3, > 50K
11291,United States,42,M,F,130000,1,3,Bachelors,Management,1,3, > 50K
11292,United States,47,S,M,150000,1,2,Partial College,Professional,0,3, > 50K
11293,United States,54,S,M,60000,2,0,High School,Professional,0,2, > 50K
11294,United States,53,M,M,60000,2,0,High School,Professional,0,2, > 50K
11295,United States,55,S,F,80000,2,0,Partial High School,Skilled Manual,1,2, > 50K
11296,United States,73,S,F,50000,2,0,Graduate Degree,Management,1,2, <= 50K 
11297,United States,74,S,M,70000,4,0,Graduate Degree,Management,1,2, > 50K
11298,United States,74,M,M,70000,4,0,Graduate Degree,Management,1,2, > 50K
11299,United States,73,M,M,70000,4,0,Graduate Degree,Management,1,2, > 50K
11300,Canada,49,M,M,80000,5,4,Partial College,Professional,0,3, > 50K
11301,United States,49,M,M,80000,5,4,Partial College,Professional,1,4, > 50K
11302,United States,43,S,M,90000,4,3,High School,Professional,0,3, > 50K
11303,United States,48,S,F,90000,4,3,High School,Professional,0,3, > 50K
11304,United States,43,M,F,100000,0,3,Partial College,Professional,1,0, > 50K
11305,United States,49,M,M,110000,3,3,Partial College,Professional,0,4, > 50K
11306,United States,49,M,M,110000,3,3,Partial College,Professional,0,4, > 50K
11307,United States,49,M,M,80000,2,0,Partial High School,Skilled Manual,1,2, > 50K
11308,United States,55,M,M,60000,2,0,High School,Professional,0,2, > 50K
11309,United States,55,S,F,60000,2,0,High School,Professional,1,2, > 50K
11310,United States,50,S,F,70000,3,0,Graduate Degree,Management,1,2, > 50K
11311,United States,55,S,F,70000,3,0,Graduate Degree,Management,0,2, > 50K
11312,United States,56,S,F,70000,3,0,Graduate Degree,Management,1,2, > 50K
11313,United States,56,S,M,70000,3,0,Graduate Degree,Management,1,2, > 50K
11314,United States,44,S,F,70000,3,0,Graduate Degree,Management,0,2, > 50K
11315,United States,55,S,F,70000,3,0,Graduate Degree,Management,0,2, > 50K
11316,Canada,55,M,M,60000,3,0,Graduate Degree,Management,1,2, > 50K
11317,United States,51,S,F,40000,3,0,Partial College,Professional,0,2, <= 50K 
11318,United States,56,S,F,40000,3,0,Partial College,Professional,0,2, <= 50K 
11319,United States,66,M,F,70000,4,0,Graduate Degree,Management,0,2, > 50K
11320,United States,72,M,F,80000,4,0,Graduate Degree,Management,1,2, > 50K
11321,United States,70,M,M,90000,5,0,Bachelors,Management,1,2, > 50K
11322,United States,71,M,F,90000,5,0,Bachelors,Management,1,2, > 50K
11323,United States,71,S,M,120000,2,4,Graduate Degree,Management,1,3, > 50K
11324,United States,70,M,M,90000,5,0,Bachelors,Management,1,2, > 50K
11325,United States,70,S,M,90000,5,0,Bachelors,Management,1,2, > 50K
11326,United States,70,M,M,130000,2,3,Bachelors,Management,1,4, > 50K
11327,United States,69,M,M,90000,5,0,Bachelors,Management,1,2, > 50K
11328,Canada,69,M,M,90000,5,0,Bachelors,Management,1,2, > 50K
11329,United States,68,S,M,90000,5,0,Bachelors,Management,1,2, > 50K
11330,Canada,69,M,M,110000,2,4,Graduate Degree,Management,1,1, > 50K
11331,Canada,40,M,F,90000,4,4,Partial College,Skilled Manual,1,2, > 50K
11332,Germany,46,S,F,10000,1,0,Graduate Degree,Manual,1,0, <= 50K 
11333,United Kingdom,46,M,F,20000,1,0,Graduate Degree,Clerical,1,0, <= 50K 
11334,United Kingdom,48,M,F,10000,1,0,Bachelors,Manual,1,0, <= 50K 
11335,Germany,37,M,F,10000,1,0,Bachelors,Manual,1,0, <= 50K 
11336,France,41,M,M,20000,1,0,Graduate Degree,Clerical,1,0, <= 50K 
11337,United Kingdom,47,M,M,10000,1,0,Bachelors,Manual,1,0, <= 50K 
11338,Germany,42,M,M,20000,1,0,Graduate Degree,Clerical,1,0, <= 50K 
11339,France,47,S,M,20000,1,0,Graduate Degree,Clerical,1,0, <= 50K 
11340,France,67,M,F,10000,1,0,Graduate Degree,Clerical,1,0, <= 50K 
11341,United Kingdom,72,M,M,20000,1,0,Graduate Degree,Clerical,1,0, <= 50K 
11342,France,41,M,M,30000,5,0,Graduate Degree,Clerical,1,0, <= 50K 
11343,United Kingdom,39,M,M,10000,1,0,Bachelors,Manual,1,0, <= 50K 
11344,United Kingdom,51,M,F,10000,1,0,Partial College,Manual,1,0, <= 50K 
11345,France,52,S,F,10000,1,0,Partial College,Manual,1,0, <= 50K 
11346,France,48,S,F,10000,2,0,Partial College,Manual,1,1, <= 50K 
11347,Germany,42,M,M,10000,2,0,Partial College,Manual,1,1, <= 50K 
11348,Germany,53,M,M,10000,2,0,Partial College,Manual,1,1, <= 50K 
11349,Germany,49,M,F,10000,2,0,Partial College,Manual,1,1, <= 50K 
